,Date,Open,High,Low,Close,Volume,Market Cap
521,"Feb 28, 2018",8.53,9.22,8.41,8.41,"380,052,992","5,875,209,847"
522,"Feb 27, 2018",8.17,8.87,8.03,8.57,"330,184,992","5,970,803,890"
523,"Feb 26, 2018",7.90,8.44,7.63,8.13,"251,184,992","5,646,077,180"
524,"Feb 25, 2018",8.18,8.19,7.70,7.90,"173,548,992","5,467,127,018"
525,"Feb 24, 2018",8.57,8.72,7.95,8.19,"241,756,992","5,657,955,686"
526,"Feb 23, 2018",8.05,8.77,7.92,8.58,"284,364,992","5,908,091,946"
527,"Feb 22, 2018",8.74,8.91,7.98,8.09,"295,638,016","5,553,653,254"
528,"Feb 21, 2018",9.27,9.31,8.53,8.76,"298,552,992","5,981,143,639"
529,"Feb 20, 2018",9.69,10.01,9.26,9.28,"305,780,992","6,319,287,589"
530,"Feb 19, 2018",9.37,9.79,9.36,9.68,"225,362,000","6,581,977,970"
531,"Feb 18, 2018",10.16,10.20,9.23,9.38,"353,808,000","6,359,357,557"
532,"Feb 17, 2018",10.01,10.18,9.93,10.15,"276,848,992","6,859,789,737"
533,"Feb 16, 2018",10.15,10.24,9.70,10.02,"249,798,000","6,753,287,501"
534,"Feb 15, 2018",9.94,10.30,9.77,10.17,"392,064,992","6,829,174,012"
535,"Feb 14, 2018",9.23,10.02,9.17,9.97,"480,308,992","6,671,166,759"
536,"Feb 13, 2018",9.18,9.27,8.70,9.21,"365,436,000","6,148,681,740"
537,"Feb 12, 2018",8.45,9.29,8.45,9.18,"353,976,000","6,112,906,693"
538,"Feb 11, 2018",9.09,9.09,8.17,8.41,"408,012,992","5,585,035,906"
539,"Feb 10, 2018",9.61,10.30,8.66,9.10,"609,065,984","6,016,221,196"
540,"Feb 09, 2018",8.50,9.66,8.16,9.65,"507,606,016","6,361,534,279"
541,"Feb 08, 2018",7.66,8.59,7.66,8.51,"542,067,968","5,596,555,489"
542,"Feb 07, 2018",8.35,8.65,7.56,7.61,"762,883,968","4,987,997,778"
543,"Feb 06, 2018",7.17,8.46,5.85,8.34,"1,304,850,048","5,434,877,323"
544,"Feb 05, 2018",8.68,8.85,6.94,7.06,"640,158,976","4,585,049,360"
545,"Feb 04, 2018",9.77,10.17,8.45,8.61,"588,172,032","5,572,991,931"
546,"Feb 03, 2018",9.77,10.39,8.59,9.84,"736,278,016","6,352,526,020"
547,"Feb 02, 2018",10.17,10.22,7.64,9.79,"1,534,140,032","6,297,674,345"
548,"Feb 01, 2018",12.24,12.40,9.90,10.21,"919,859,008","6,550,906,545"
549,"Jan 31, 2018",11.46,12.33,10.42,12.20,"1,008,809,984","7,806,255,291"
550,"Jan 30, 2018",14.03,14.03,11.30,11.56,"980,342,016","7,374,103,699"
551,"Jan 29, 2018",15.03,15.17,13.80,14.01,"565,307,008","8,903,833,112"
552,"Jan 28, 2018",14.34,15.04,14.34,15.02,"646,950,016","9,516,622,285"
553,"Jan 27, 2018",14.34,14.63,13.97,14.27,"653,830,976","9,013,762,327"
554,"Jan 26, 2018",14.28,14.73,13.22,14.34,"1,444,039,936","9,030,386,619"
555,"Jan 25, 2018",13.96,14.93,13.70,14.31,"1,546,860,032","8,981,241,125"
556,"Jan 24, 2018",13.01,13.86,12.63,13.83,"1,050,800,000","8,653,951,384"
557,"Jan 23, 2018",13.57,13.81,11.87,12.97,"1,614,680,064","8,087,782,002"
558,"Jan 22, 2018",13.54,15.18,12.85,13.66,"2,902,200,064","8,488,483,306"
559,"Jan 21, 2018",15.66,15.66,12.39,13.44,"2,887,800,064","8,322,820,708"
560,"Jan 20, 2018",11.25,15.76,11.25,15.52,"2,777,449,984","9,578,538,040"
561,"Jan 19, 2018",10.38,11.77,9.92,11.18,"845,596,032","6,877,837,864"
562,"Jan 18, 2018",10.20,11.27,9.89,10.51,"1,266,300,032","6,440,509,833"
563,"Jan 17, 2018",10.20,10.57,7.67,10.19,"1,625,250,048","6,228,808,443"
564,"Jan 16, 2018",12.96,13.04,8.60,10.28,"1,599,730,048","6,256,126,299"
565,"Jan 15, 2018",13.42,14.83,12.92,12.94,"806,380,992","7,848,996,613"
566,"Jan 14, 2018",16.17,16.17,13.31,13.44,"1,162,419,968","8,121,857,985"
567,"Jan 13, 2018",13.92,18.71,13.54,16.23,"3,379,130,112","9,758,283,455"
568,"Jan 12, 2018",11.40,15.34,10.78,13.75,"2,449,370,112","8,234,076,885"
569,"Jan 11, 2018",11.33,12.42,9.31,11.35,"1,161,849,984","6,778,127,512"
570,"Jan 10, 2018",9.33,11.63,8.68,11.34,"1,211,789,952","6,745,539,241"
571,"Jan 09, 2018",9.67,9.76,8.99,9.33,"546,937,024","5,530,922,304"
572,"Jan 08, 2018",12.51,12.58,8.44,9.69,"697,174,976","5,727,264,865"
573,"Jan 07, 2018",12.77,13.37,12.09,12.52,"781,497,024","7,375,481,946"
574,"Jan 06, 2018",10.81,12.58,10.46,12.58,"688,819,008","7,382,566,121"
575,"Jan 05, 2018",11.23,11.51,10.40,10.84,"618,755,008","6,341,114,748"
576,"Jan 04, 2018",10.45,11.97,10.29,11.28,"1,204,969,984","6,575,441,071"
577,"Jan 03, 2018",9.32,10.23,8.85,10.23,"529,459,008","5,944,983,688"
578,"Jan 02, 2018",8.91,9.78,8.91,9.33,"552,188,992","5,406,250,924"
579,"Jan 01, 2018",8.77,9.11,8.51,8.84,"331,072,992","5,104,026,730"
580,"Dec 31, 2017",8.51,8.97,8.44,8.77,"312,308,000","5,041,642,088"
581,"Dec 30, 2017",9.46,9.50,8.35,8.56,"499,400,000","4,907,487,133"
582,"Dec 29, 2017",9.60,9.87,9.22,9.44,"448,089,984","5,392,950,875"
583,"Dec 28, 2017",10.54,10.57,8.41,9.57,"478,886,016","5,442,850,486"
584,"Dec 27, 2017",9.83,10.81,9.79,10.56,"530,216,000","5,988,389,249"
585,"Dec 26, 2017",9.77,10.10,9.63,9.82,"336,595,008","5,546,006,340"
586,"Dec 25, 2017",8.20,9.81,7.92,9.77,"337,892,992","5,498,381,272"
587,"Dec 24, 2017",8.51,8.56,7.26,8.14,"192,175,008","4,564,054,845"
588,"Dec 23, 2017",7.97,9.48,7.95,8.48,"233,174,000","4,737,432,460"
589,"Dec 22, 2017",10.66,10.67,6.69,7.84,"612,398,016","4,365,218,193"
590,"Dec 21, 2017",11.96,13.18,10.08,10.60,"349,756,000","5,862,777,258"
591,"Dec 20, 2017",12.45,12.60,10.37,11.99,"775,977,024","6,608,750,773"
592,"Dec 19, 2017",9.24,12.90,9.23,12.38,"1,688,240,000","6,799,555,397"
593,"Dec 18, 2017",8.22,9.39,7.67,9.21,"577,649,984","5,040,375,684"
594,"Dec 17, 2017",8.60,8.98,8.21,8.22,"361,464,000","4,482,552,439"
595,"Dec 16, 2017",8.14,9.26,8.13,8.61,"540,462,016","4,675,049,664"
596,"Dec 15, 2017",8.41,8.41,6.88,8.13,"640,457,984","4,396,028,507"
597,"Dec 14, 2017",7.24,8.74,7.17,8.40,"613,600,000","4,530,193,986"
598,"Dec 13, 2017",5.32,7.30,5.05,7.30,"663,820,992","3,918,134,389"
599,"Dec 12, 2017",4.38,5.73,4.26,5.30,"266,450,000","2,834,735,351"
600,"Dec 11, 2017",3.77,4.48,3.73,4.36,"153,155,008","2,324,716,541"
601,"Dec 10, 2017",4.07,4.07,3.55,3.77,"98,890,000","2,001,414,471"
602,"Dec 09, 2017",4.28,4.68,3.80,4.06,"133,142,000","2,147,345,493"
603,"Dec 08, 2017",3.99,4.59,3.74,4.29,"149,508,000","2,259,558,877"
604,"Dec 07, 2017",4.52,4.52,3.56,3.99,"183,666,000","2,095,288,549"
605,"Dec 06, 2017",4.27,5.10,4.20,4.55,"200,252,992","2,372,837,597"
606,"Dec 05, 2017",4.06,4.47,3.69,4.24,"181,418,000","2,202,518,091"
607,"Dec 04, 2017",3.61,4.13,3.50,4.03,"163,900,000","2,092,122,649"
608,"Dec 03, 2017",3.94,4.12,3.44,3.61,"132,280,000","1,862,161,181"
609,"Dec 02, 2017",3.24,3.99,3.21,3.92,"163,479,008","2,014,198,808"
610,"Dec 01, 2017",2.83,3.24,2.73,3.24,"74,402,000","1,659,490,666"
611,"Nov 30, 2017",2.76,2.99,2.54,2.85,"92,059,600","1,455,252,735"
612,"Nov 29, 2017",2.79,3.33,2.54,2.71,"133,125,000","1,376,124,336"
613,"Nov 28, 2017",2.86,3.07,2.75,2.75,"98,904,096","1,387,641,296"
614,"Nov 27, 2017",2.46,2.94,2.38,2.86,"126,962,000","1,438,561,848"
615,"Nov 26, 2017",2.05,2.66,1.94,2.46,"116,846,000","1,229,362,445"
616,"Nov 25, 2017",1.88,2.06,1.79,2.05,"48,591,800","1,024,165,345"
617,"Nov 24, 2017",1.89,1.91,1.73,1.88,"44,111,800","935,350,575"
618,"Nov 23, 2017",1.89,1.98,1.85,1.89,"42,235,000","935,524,485"
619,"Nov 22, 2017",1.91,1.98,1.79,1.89,"44,297,600","928,815,306"
620,"Nov 21, 2017",2.00,2.11,1.85,1.90,"56,022,900","934,360,176"
621,"Nov 20, 2017",1.89,2.04,1.83,1.99,"55,477,200","974,473,014"
622,"Nov 19, 2017",1.92,2.03,1.77,1.88,"55,081,600","915,391,194"
623,"Nov 18, 2017",1.74,1.98,1.66,1.93,"52,951,400","934,185,083"
624,"Nov 17, 2017",1.66,1.82,1.60,1.75,"50,782,500","843,884,674"
625,"Nov 16, 2017",1.67,1.84,1.57,1.65,"64,675,200","792,406,168"
626,"Nov 15, 2017",1.68,1.74,1.54,1.67,"64,150,700","798,321,004"
627,"Nov 14, 2017",1.18,1.67,1.18,1.67,"107,326,000","792,322,316"
628,"Nov 13, 2017",1.09,1.19,1.08,1.18,"20,848,600","554,812,593"
629,"Nov 12, 2017",1.16,1.18,1.04,1.09,"29,229,800","512,887,018"
630,"Nov 11, 2017",1.03,1.18,1.01,1.16,"27,539,300","543,649,516"
631,"Nov 10, 2017",1.18,1.18,0.994880,1.03,"23,024,200","478,869,135"
632,"Nov 09, 2017",1.13,1.21,1.13,1.18,"24,725,800","546,246,976"
633,"Nov 08, 2017",0.951020,1.18,0.947023,1.13,"37,971,000","521,806,493"
634,"Nov 07, 2017",0.921145,0.987035,0.921145,0.951407,"16,941,200","436,394,706"
635,"Nov 06, 2017",1.07,1.07,0.914666,0.916950,"26,059,800","416,041,141"
636,"Nov 05, 2017",1.11,1.16,0.985319,1.09,"32,996,400","492,069,897"
637,"Nov 04, 2017",1.20,1.29,1.06,1.12,"37,546,000","502,038,131"
638,"Nov 03, 2017",1.12,1.39,1.06,1.21,"59,247,900","540,504,550"
639,"Nov 02, 2017",1.05,1.27,0.924324,1.12,"68,358,600","495,710,880"
640,"Nov 01, 2017",0.785862,1.27,0.758617,1.05,"74,917,400","461,972,999"
641,"Oct 31, 2017",0.712702,0.781782,0.672324,0.781782,"16,200,000","343,991,923"
642,"Oct 30, 2017",0.667644,0.742194,0.646114,0.711433,"20,481,800","311,711,855"
643,"Oct 29, 2017",0.536399,0.680899,0.536399,0.665881,"19,902,600","290,443,064"
644,"Oct 28, 2017",0.522242,0.539194,0.521951,0.536368,"5,960,600","232,427,403"
645,"Oct 27, 2017",0.518989,0.523540,0.502715,0.522118,"4,730,120","225,163,742"
646,"Oct 26, 2017",0.504340,0.529740,0.502833,0.518944,"5,314,240","223,154,346"
647,"Oct 25, 2017",0.514902,0.520106,0.497452,0.504073,"5,046,620","215,636,588"
648,"Oct 24, 2017",0.492790,0.531023,0.482726,0.514935,"7,089,410","219,148,564"
649,"Oct 23, 2017",0.517658,0.518657,0.480196,0.493225,"6,162,350","209,044,636"
650,"Oct 22, 2017",0.526479,0.538859,0.504792,0.517970,"5,538,990","218,488,290"
651,"Oct 21, 2017",0.540259,0.541115,0.512558,0.526792,"7,066,060","221,236,176"
652,"Oct 20, 2017",0.566626,0.579606,0.540684,0.540684,"6,150,650","226,230,288"
653,"Oct 19, 2017",0.545624,0.590050,0.544242,0.566708,"8,084,770","235,865,081"
654,"Oct 18, 2017",0.554269,0.560554,0.514188,0.546006,"7,320,330","225,764,108"
655,"Oct 17, 2017",0.562389,0.564163,0.544123,0.552144,"6,374,050","227,543,814"
656,"Oct 16, 2017",0.571853,0.581349,0.561856,0.561856,"6,005,900","230,065,909"
657,"Oct 15, 2017",0.583440,0.586516,0.563429,0.571914,"6,573,060","232,998,342"
658,"Oct 14, 2017",0.584829,0.618572,0.578119,0.582836,"6,436,220","236,578,676"
659,"Oct 13, 2017",0.591619,0.614803,0.567720,0.583970,"8,587,370","235,105,366"
660,"Oct 12, 2017",0.610294,0.632223,0.584208,0.591723,"8,681,880","237,078,869"
661,"Oct 11, 2017",0.556461,0.626727,0.552679,0.610223,"8,705,650","243,304,842"
662,"Oct 10, 2017",0.557554,0.575712,0.548996,0.555214,"7,701,180","220,316,380"
663,"Oct 09, 2017",0.603543,0.603980,0.547139,0.557142,"6,657,950","220,083,002"
664,"Oct 08, 2017",0.587396,0.605634,0.577351,0.604501,"5,854,700","237,578,843"
665,"Oct 07, 2017",0.599816,0.604416,0.572312,0.588553,"6,250,760","230,176,587"
666,"Oct 06, 2017",0.606706,0.608968,0.591342,0.599844,"6,785,670","233,490,764"
667,"Oct 05, 2017",0.599336,0.620752,0.575530,0.606157,"8,038,660","234,767,287"
668,"Oct 04, 2017",0.631988,0.634008,0.585308,0.601539,"5,449,300","231,675,685"
669,"Oct 03, 2017",0.652812,0.668738,0.616319,0.631230,"7,114,830","241,919,483"
670,"Oct 02, 2017",0.707986,0.714239,0.636093,0.654973,"8,299,880","249,766,733"
671,"Oct 01, 2017",0.721765,0.725224,0.674128,0.707760,"8,938,190","268,338,988"
672,"Sep 30, 2017",0.718682,0.752134,0.714021,0.721609,"10,179,600","272,304,278"
673,"Sep 29, 2017",0.816964,0.835309,0.704876,0.717272,"15,499,400","269,266,674"
674,"Sep 28, 2017",0.632940,0.816737,0.630716,0.815693,"22,672,400","304,661,610"
675,"Sep 27, 2017",0.560208,0.636917,0.557500,0.633043,"11,395,600","234,950,330"
676,"Sep 26, 2017",0.570981,0.584476,0.552298,0.561128,"5,789,570","207,507,404"
677,"Sep 25, 2017",0.546514,0.574288,0.543055,0.570774,"5,592,430","209,706,749"
678,"Sep 24, 2017",0.580243,0.582995,0.546018,0.546274,"7,534,280","199,881,820"
679,"Sep 23, 2017",0.570790,0.594251,0.560010,0.576697,"4,809,880","209,457,779"
680,"Sep 22, 2017",0.547718,0.579056,0.534403,0.569846,"4,556,540","206,008,751"
681,"Sep 21, 2017",0.615818,0.615818,0.544907,0.546153,"6,972,060","196,678,457"
682,"Sep 20, 2017",0.651858,0.654721,0.612827,0.612827,"6,087,520","218,859,651"
683,"Sep 19, 2017",0.708194,0.708576,0.647600,0.653363,"5,520,750","232,015,329"
684,"Sep 18, 2017",0.650438,0.706701,0.650438,0.704878,"9,065,170","249,084,835"
685,"Sep 17, 2017",0.624291,0.667683,0.577502,0.648592,"8,685,770","227,895,848"
686,"Sep 16, 2017",0.666501,0.685285,0.606857,0.627565,"5,602,950","219,247,765"
687,"Sep 15, 2017",0.603370,0.683713,0.524670,0.664289,"13,121,900","230,972,183"
688,"Sep 14, 2017",0.727394,0.754454,0.573316,0.603217,"13,131,300","208,513,621"
689,"Sep 13, 2017",0.841224,0.841224,0.671642,0.728994,"12,370,500","250,375,031"
690,"Sep 12, 2017",0.730094,0.853169,0.728287,0.836077,"15,475,800","285,709,556"
691,"Sep 11, 2017",0.739553,0.752968,0.715178,0.730869,"7,763,470","248,502,484"
692,"Sep 10, 2017",0.793394,0.811077,0.707969,0.739763,"9,494,440","250,216,301"
693,"Sep 09, 2017",0.833780,0.834185,0.752267,0.791608,"10,281,100","266,289,736"
694,"Sep 08, 2017",0.977746,0.977746,0.771229,0.832764,"18,650,200","278,401,664"
695,"Sep 07, 2017",0.921946,1.00,0.853389,0.977272,"22,912,100","325,037,443"
696,"Sep 06, 2017",0.891735,1.07,0.853005,0.914359,"26,208,300","302,392,064"
697,"Sep 05, 2017",0.848252,0.918675,0.712454,0.883708,"30,273,900","290,402,035"
698,"Sep 04, 2017",1.25,1.25,0.792624,0.850526,"43,045,400","278,105,197"
699,"Sep 03, 2017",1.24,1.29,1.18,1.25,"22,618,600","407,130,718"
700,"Sep 02, 2017",1.30,1.43,1.19,1.23,"38,741,300","398,523,490"
701,"Sep 01, 2017",1.30,1.33,1.26,1.30,"25,853,000","417,868,424"
702,"Aug 31, 2017",1.23,1.33,1.22,1.30,"22,926,100","413,604,782"
703,"Aug 30, 2017",1.31,1.33,1.19,1.23,"24,068,700","389,118,208"
704,"Aug 29, 2017",1.34,1.35,1.31,1.31,"18,993,200","412,685,992"
705,"Aug 28, 2017",1.35,1.36,1.32,1.34,"18,414,400","416,213,299"
706,"Aug 27, 2017",1.36,1.37,1.34,1.35,"18,124,100","416,977,795"
707,"Aug 26, 2017",1.38,1.39,1.35,1.36,"16,466,000","418,393,423"
708,"Aug 25, 2017",1.38,1.43,1.35,1.38,"20,444,500","420,934,596"
709,"Aug 24, 2017",1.41,1.42,1.35,1.38,"18,034,600","418,857,293"
710,"Aug 23, 2017",1.29,1.53,1.28,1.41,"36,567,800","425,313,612"
711,"Aug 22, 2017",1.34,1.34,1.26,1.28,"23,774,300","384,648,800"
712,"Aug 21, 2017",1.37,1.38,1.33,1.34,"20,152,300","399,079,604"
713,"Aug 20, 2017",1.40,1.42,1.36,1.37,"15,673,200","405,019,822"
